Sports,Description,Visual,Duration (Min),Location,Number of people,Equipment,Muscle,Category
Volleyball,A sports game played by two opposing groups. by hitting the ball so that it passes over the top of the net in the middle of the field.,,50-60,Outdoor,10-12,Yes,"upper arms, back, cardiac, legs, hips, gluteals, hamstrings, quadriceps, calf muscles, shoulder,
forearm, upper arm, wrist flexors, extensors, biceps, triceps, core muscles, abdominous, obliques, spinal erectors",Upper Body
Zumba,Zumba is an interval workout. The classes move between high- and low-intensity dance moves designed to get your heart rate up and boost cardio endurance.,,30-40,Indoor,1,No,"abdomen, back, buttocks, thighs, legs, core, quads, calves, hamstrings, glutes",Whole Body
Badminton,Badminton is a racket sport that is played by two or four players. Game play involves the players striking a shuttlecock over a net into their opposition's side of the court.,,50-60,Outdoor,2-4,Yes,"quads, glutes, calves, hamstrings, arms, back",Lower Body
Table Tennis,"Table tennis is a game played inside by two or four people. The players stand at each end of a table which has a low net across the middle and hit a small light ball over the net, using small bats.",,50-60,Indoor,2-4,Yes,"calf muscles, ankles, hamstrings, lower back, rotator cuffs, deltoids, triceps, biceps, gastrocnemius, leg, quadriceps, wrist",Lower Body
Taekwondo,"Taekwondo is a Korean martial arts involving punching and kicking techniques, with emphasis on head-height kicks, spinning jump kicks, and fast kicking techniques",,30-50,Indoor,1-2,No,"back, shoulders, forearms, biceps, triceps, calves, hamstrings, quads",Whole Body
Tennis,"Tennis is a game played inside by two or four people who use strictly strung rackets to hit a ball of specified size, weight, and bounce over a net on a rectangular court.",,50-60,Outdoor,2-4,Yes,"forearms, core, glutes, quads, hips, hamstrings",Lower Body
Swimming,Swimming is a sport the propulsion of the body through water by combined arm and leg motions and the natural flotation of the body.,,30-40,Outdoor,1,Yes,"abdominal, back, forearm, shoulder, gluteal, hamstrings, quadriceps, quads, thighs, gastrocnemius, calves, obliques, triceps, catch, deltoid, arm, shoulder, abs",Whole Body
Basketball,"Basketball is a game played between two teams of five players each on a rectangular court. Each team tries to score by tossing the ball through the opponent’s goal, an elevated horizontal hoop and a net called a basket.",,50-60,Outdoor,1,Yes,"quadriceps, hamstring, gluteus, quads, calf, chest, arms, core, back, neck",Lower Body
Golf,"It is a game played on a large outdoor course, the object being to propel a small hard ball into a series of 'holes' with as few strokes as possible, using a variety of wood or iron-tipped sticks.",,180-240,Outdoor,1,Yes,"core, abdominals, obliques, lower back, glutes, quadriceps, hamstrings, latissimus dorsi, shoulders, rotator cuff, forearms, wrists, arms, legs",Whole Body
Football,Football is a game involving two teams of 11 players who try to maneuver the ball into the other team's goal without using their hands or arms.,,50-60,Outdoor,10-12,Yes,"hamstrings, glutes, quads, calves, core, abdominal, obliques, lower back, chest, shoulders, rotator cuff, arms, forearm, neck",Lower Body
Handball,Handball is a game is contested by two teams of seven players and involves one team invading another team's territory with the aim of throwing a ball into their opponent's goal.,,50-60,Outdoor,10-12,Yes,"deltoids, shoulder, biceps, triceps, arm, forearm, abdominals, core, obliques, quadriceps, hamstrings, thing, glutes, calves, back, trapezius, rhomboids, latissimus dorsi, lower back, leg, hip flexors ",Upper Body
Judo,Judo is a martial art that emphasizes the use of quick movement and leverage to throw an opponent.,,30-50,Indoor,1-2,No,"core, belly, mid and lower back, neck, shoulders, hips deltoids, shoulder, biceps, triceps, arm, forearm, chest, 
core, abdominals, obliques, quadriceps, hamstrings, thigh, glutes, calves, back, trapezius, rhomboids, latissimus dorsi, lower back, leg, adductors, abductors, hip flexors",Upper Body
Boxing,"Boxing is a combat sport in which two people, usually wearing protective gloves and other protective equipment such as hand wraps and mouthguards, throw punches at each other for a predetermined amount of time in a boxing ring.",,30-50,Indoor,1-2,Yes,"arms, shoulders, back, chest, core, legs, calves, quads, hamstrings, hips, glutes, forearms, feet, torso, hands, abdominals, obliques, latissimus dorsi, trapezius, rhomboids, cardio",Upper Body
Muay thai,Muay Thai is a combat sport that uses stand-up striking along with various clinching techniques.,,30-50,Indoor,1-2,Yes,"arms, shoulders, back, chest, core, legs, calves, quads, hamstrings, hips, glutes, latissimus dorsi, trapezius, rhomboids, cardio, hip flexors, back",Whole Body
Horseback Riding,the art of riding a horse and controlling the animal's movement and speed with maximum effectiveness and minimum efforts.,,30-45,Outdoor,1,Yes,"arms, shoulders, back, core, legs, calves, thighs, quads, hamstrings, hips, glutes, abdominals, pelvic floor, hip flexors",Core
Fencing,Fencing is a sport in which two competitors fight each other using very thin swords.,,20-30,Indoor,1-2,Yes,"quadriceps, grip, hand, arms, shoulders, lower back, legs, calves, quads, hamstrings, hips, glutes, forearms, abdominals, obliques, deltoids, biceps, triceps, latissimus dorsi, trapezius, rhomboids",Lower Body
Hockey,"A sport in which two teams play against each other by attempting to aim a piece of play, either a ball or a disc (such as a puck), at the opponent's goal with a hockey stick.",,50-60,Outdoor,10-12,Yes,"neck, trapezius, hips, legs, midsection, upper body, grip, hand, arms, shoulders, lower back, calves, quads, hamstrings, glutes, core, forearms, abdominals, obliques, deltoids, biceps, triceps, latissimus dorsi, rhomboids",Upper Body
Rugby,"A team game played with an oval ball that may be kicked, carried, and passed from hand to hand.",,50-60,Outdoor,10-12,Yes,"abductors, adductors, core, shoulders, lower back, hip, calves, quads, hamstrings, glutes, core, forearms, abdominals, obliques, deltoids, biceps, triceps, latissimus dorsi, rhomboids, hip flexors, neck",Upper Body
Wrestling,A sport or contest in which two unarmed individuals struggle hand to hand with each attempting to subdue or unbalance the other,,30-50,Indoor,1-2,Yes,"shoulder, hip, calf, core, abs, obliques, lower back, leg, quadriceps,  hamstrings, glutes, calf, chest, shoulders, latissimus dorsi, arms, biceps, triceps, grip, forearm, neck, cardio",Upper Body
Pilates ,Pilates is a form of exercise that concentrates on strengthening the body with an emphasis on core strength. ,,20-40,Indoor,1,No,"core, abdominal, obliques, lower back, glutes, hip, gluteal, leg, quadriceps, hamstrings, calf, chest, shoulders, arm, inner thigh",Core
Wall Climbing,"Wall climbing is a miniaturized form of rock climbing, where the participants climb artificial surfaces constructed from wood or other materials and built either indoors or outdoors.",,15-30,Outdoor,1,Yes,"lats, biceps, calves, forearm, grip, back, shoulder, arm, abdominals, obliques, leg, quadriceps, hamstrings, calf, gluteal, cardio",Upper Body
Futsal,"Futsal is a form of small-sided indoor football. It is played between two teams who each have five players on the pitch at any one time, with a smaller ball than soccer that is harder and less bouncy.",,50-60,Outdoor,10-12,Yes,"hamstrings, glutes, quads, calves, core, abdominal, obliques, lower back, chest, shoulders, rotator cuff, arms, forearm, neck",Lower Body
Candlestick,A candle stick is a shoulder stand position where the gymnast is essentially resting on the back of their shoulders with their feet pointed towards the ceiling.,,15-20,Indoor,1,No,"abs,  obliques , core, chest, glutes, hip flexors, lower back, middle back, shoulders",Core
Donkey Kickback,"Donkey kick is a position keeping the right knee bent at a 90-degree angle, lifting the right leg out to the side",,1-5,Indoor,1,No,"gluteus maximus, medius, hamstrings, core, abdominal, lower back, hip, glutes",Lower Body
Elliptical Training,The type of exercise produced by this machine is walking as well as climbing stairs.,,1-5,Indoor,1,No,"glutes, hamstrings, quads, chest, back, biceps, triceps, core, calves, ",Lower Body
Crunches,"Position that bend your knees and place your arms across your chest. Contract your abs and inhale. Exhale and lift your upper body, keeping your head and neck relaxed.",,1-5,Indoor,1,No,"rectus abdominis, internal and external obliques, transversus abdominis, hip flexors, obliques, hip flexors, lower back",Core
Shoulder Touch,Shoulder taps imitate the starting position of the high plank but include more arm movement of using each palm to tap the opposite shoulder,,1-5,Indoor,1,No,"core, glutes, arms, wrists, shoulders, abdominals, obliques, back, hips",Core
Lunges,A lunge is a position of the human body where one leg is positioned forward with knee bent and foot flat on the ground while the other leg is positioned behind.,,1-5,Indoor,1,No,"gluteals, quadriceps, hamstrings, leg, calves, core, hip",Lower Body
Leg Lifts,"Leg lifts are a challenging exercise designed to target the lower and upper abdominal muscles, and build strength in this region",,1-5,Indoor,1,No,"lower abs, leg, inner thighs, lower upper abdominals, hip flexors, obliques, ",Core
Stepping,"Movement using one or all of the stairs, do up and down the stairs.",,1-5,Indoor,1,No,"quadriceps, hamstrings, gluteal ",Lower Body
Scissor Kick,The movement spread your legs wide apart and begin a scissor-cross motion alternating between the front and back legs.,,1-5,Indoor,1,No,"core, glutes, quads, adductors, hamstrings, calves, hip flexors",Core
Windmill,"The movement stand with your feet wide apart and then bending over with your arms outstretched, do it alternately on both sides",,1-5,Indoor,1,No,"core, shoulder, hamstrings, glutes, obliques, hip flexors, hip adductors abductors",Core
Calf Raises,"With your feet together, perform a tiptoe resting on your toes to loosen and tighten your calves.",,1-5,Indoor,1,No,"calf,  gastrocnemius, soleus,  calves, plantaris, achilles tendon",Lower Body
Plank,Movement by lifting the body slowly by relying on the hand. Legs and back are in a straight position.,,1-5,Indoor,1,No,"abdominal, core, obliques muscles, rectus abdominis, transverse abdominis, back, shoulder, glutes, quadriceps, hamstrings",Core
Side Plank,"Lying position with the position of the body facing sideways. Then, slowly lift your body by leaning on your right hand. Legs, hips and back are in a straight position.",,1-5,Indoor,1,No,"abdominal, core, obliques muscles, transverse abdominis, gluteus medius, hip abductors, shoulder",Core
Jumping Jack,"Movement by starting with your hands by your side and feet parallel. As you jump in the air, spread your arms and legs apart, then end with your arms back to your sides and your feet together as you land again.",,1-5,Indoor,1,No,"glutes, quadriceps, hip flexors, calves, hamstrings, shoulders, upper back, cardio",Lower Body
Squat,"Movement by starting in a standing position with your feet shoulder-width apart. Squat down to your knees, then stand up again.",,1-5,Indoor,1,No,"gluteus, quadriceps, hamstrings, adductor, hip flexors, calves, core, adductors, abductors, erector spinae",Lower Body
Push-up,"Push-ups are an exercise in which a person, keeping a prone position, with the hands palms down under the shoulders, the balls of the feet on the ground, and the back straight, pushes the body up and lets it down by an alternate straightening and bending of the arms.",,1-5,Indoor,1,No,"chest, shoulders, triceps, biceps, core, rhomboids, trapezius",Upper Body
Sit-up,A conditioning exercise performed from a supine position by raising the torso to a sitting position and returning to the original position without using the arms or lifting the feet,,1-5,Indoor,1,No,"rectus abdominis, transverse abdominis, obliques, hip flexors, chest, neck, hip extensors",Core
Ball Crunch,"Stretch with the help of a gym ball.
",,1-5,Indoor,1,Yes,"lower back muscles, lower abdominals, hip flexors, obliques, rectus abdominis, obliques, transverse abdominis",Core
Tucks Jump,"Movement by standing with feet hip-width apart,Jump and bring your knees toward your body",,1-5,Indoor,1,No,"quadriceps, glutes, hamstrings, calves, core, hip flexors, cardio",Lower Body
Mountain Climbers,"Performed from a plank position, you'll alternate bringing one knee to your chest, then back out again, speeding up each time until you're ""running"" against the floor.",,1-5,Indoor,1,No,"abs, lower back, hamstrings, glutes, core, shoulders, hip flexors, quadriceps, cardio",Core
Stair Climbing,Stair climbing is a vertical exercise where you push down to lift your entire body up a stair.,,1-5,Indoor,1,No,"hamstrings, quads, calves, glutes, quadriceps, hip flexors, core",Lower Body
Bridge,"Movement by lying on your back with your knees bent. Tighten the muscles in your stomach. Lift your hips off the floor until they are in line with your knees and shoulders.
",,1-5,Indoor,1,No,"core, glutes, buttocks, quadriceps, hamstrings, calves, hip flexors",Core
Gym ,"A gym is a club, building, or large room, usually containing a variety of specialized equipment, where people exercise and get fit.",,40-50,Indoor,1,Yes,"chest, back, arms, shoulders, legs, calves, hamstrings, triceps, biceps, forearms ",Whole Body
